title,summary,biases,filename
Conceptions of Educational Equity,本文探讨了“教育公平”这一概念在教育研究、实践和政策中的多重含义。作者指出，尽管教育公平被广泛认可，但其定义并不统一，目前主要存在五种不同的理解：人群间结果的均等分布、每个孩子的结果均等、资源分配均等、每个孩子的经历均等以及每个孩子的成长水平均等。文章强调，理解这些定义及其背后的权衡，对于重新构想和改变导致教育不公的结构性条件至关重要。,"['人群分布差异 (Equal distributions of outcomes across populations)', '社会经济优势/劣势 (Structures of advantage and disadvantage / less advantaged)', '结构性不公正 (Structural injustice)']",Levinson 等 - 2022 - Conceptions of Educational Equity.pdf
A Comprehensive Survey of Bias in LLMs: Current Landscape and Future Directions,本文对大型语言模型（LLMs）中的偏见问题进行了全面综述。文章探讨了偏见的类型、来源、影响及缓解策略，并对偏见进行了系统性的多维度分类。此外，作者还评估了现有的偏见缓解技术，并为提升LLM的公平性与正义性提出了未来的研究方向，旨在为研究者、从业者和政策制定者提供参考。,"['性别偏见 (Gender bias)', '种族/民族偏见 (Racial/Ethnic bias)', '宗教偏见 (Religious bias)', '性取向偏见 (Sexual orientation bias)', '年龄偏见 (Age bias)', '残疾偏见 (Disability bias)', '社会经济偏见 (Socioeconomic bias)', '文化偏见 (Cultural bias)', '政治偏见 (Political bias)', '语言偏见 (Linguistic bias)']",A Comprehensive Survey of Bias in LLMs Current Landscape and Future Directions.pdf
On the promise of personalized learning for educational equity,本文探讨了个性化学习在促进K-12教育公平方面的潜力。文章指出，传统的教育模式通常根据学生的学业能力进行“追踪分流”（tracking），但这往往会加剧教育不平等。随着技术的发展，个性化学习被视为一种替代方案。作者结合学习科学、哲学、心理学和社会学等多学科视角，分析了个性化学习如何通过满足学生的差异化需求来实现教育公平。研究认为，虽然个性化学习难以实现“结果均等”或“投入均等”，但它符合“充足性”（adequacy）的公平观，旨在为所有学生提供参与社会生活所需的基本能力。,"['学业能力 bias (Academic ability bias)', '遗传倾向差异 (Genetic dispositions)', '环境条件不平等 (Unequal environmental conditions)']",Dumont和Ready - 2023 - On the promise of personalized learning for educational equity.pdf
Theoretical Foundations for Social Justice Education,本文探讨了社会正义的理论基础，将其定义为实现所有社会身份群体全面、公平参与社会的目标与过程。文章强调社会正义的实现应基于民主、协作和对人类多样性的尊重，主张从“支配权力”转向“共同权力”的范式，旨在构建一个资源分配公平、生态可持续且人人享有安全与尊重的世界。,"['社会身份群体偏差 (Social identity groups)', '群体差异 (Group differences)']",Teaching_for_Diversity_and_Social_Justice_----_(Part_I_Theoretical_Foundations_and_Principles_of_Practice).pdf
Fair Educational Opportunity and the Distribution of Natural Ability: Toward a Prioritarian Principle of Educational Justice,本文探讨了教育资源分配的正义原则，提出并辩护了一种“优先主义原则”（prioritarian principle）。作者主张教育应致力于提升学生的整体福祉（all-things-considered flourishing），而不仅仅是学术成就，并分析了该原则如何补充传统的精英管理原则，以应对由社会阶层和自然能力差异带来的不平等。,"['社会阶层 bias', '自然能力 bias', '社会经济地位 bias']",Fair_Educational_Opportunity_and_the_Dis.pdf
“Frayed All Over:” The Causes and Consequences of Activist Burnout Among Social Justice Education Activists,本文探讨了从事教育公平事业的社会活动家所面临的职业倦怠（burnout）问题。尽管已有研究关注劳工权利和酷儿正义等领域的活动家倦怠现象，但针对教育正义活动家的研究较少。作者通过对14位活动家的访谈数据进行分析，旨在揭示倦怠的成因、后果以及如何支持这些活动家以维持其行动的可持续性。,"['劳动权益相关偏见 (Labor rights)', '酷儿正义/性少数群体偏见 (Queer justice)', '教育不公/教育正义 (Educational justice)']",Burnout-education.pdf
Adapting Fair Teaching and Assessment Methods for Fairness in the Age of AI Chabot’s and LLMs,本研究探讨了教育工作者在 ChatGPT 等大语言模型（LLMs）兴起背景下，如何调整教学与评估策略。通过对全球不同机构教育工作者的定性分析，研究识别了 LLM 检测、评估方式重构、教育公平性忧虑以及机构支持等核心议题。研究结果表明，尽管许多教育者支持负责任地使用 AI，但在政策制定和支持系统方面仍存在显著差距，呼吁加强机构指导和教学法的适应性改革。,"['教育评估公平性 (Fairness in educational assessments)', '学术诚信 (Academic integrity)', 'AI 工具在学习中的双重作用偏差 (Dual role of AI in enhancing and undermining learning)', '机构支持与政策缺位导致的公平性差异 (Gaps in policy and support systems)']",Riskhan et al. - 2025 - Adapting Fair Teaching and Assessment Methods for Fairness in the Age of AI Chabot’s and LLMs.pdf
A Justice Lens on Fairness and Ethics Courses in Computing Education: LLM-Assisted Multi-Perspective and Thematic Evaluation,本文探讨了如何评估计算机教育（特别是人工智能、机器学习和算法设计领域）中关于公平与伦理的课程大纲。研究者指出，课程大纲是传达机构价值观和正义导向视角的关键文档，但人工评估大纲既耗时又容易产生不一致。为此，作者开发了一套面向正义（justice-oriented）的评分标准，并利用大语言模型（LLM）通过多视角角色模拟来评估大纲的覆盖深度、多样化视角以及对公平步骤的明确讨论。,"['公平性 (Fairness)', '伦理 (Ethics)', '正义 (Justice)', '传统方法的危害 (Harms of traditional approaches)']",Andrews et al. - 2025 - A Justice Lens on Fairness and Ethics Courses in Computing Education LLM-Assisted Multi-Perspective.pdf
Fair Opportunity in Education: A Democratic Equality Perspective,本文探讨了教育机会分配中的公正问题，重点分析了美国教育公平标准从“平等”转向“充足”（adequacy）标准的趋势。作者从民主平等的视角出发，研究了国家应如何为贫困与富裕家庭的孩子提供教育资源，并指出教育不仅是个人的内在利益，也是一种影响社会地位的竞争性资源。,"['阶级 bias', '贫富差距', '社会经济地位 bias']",Anderson-FairOpportunityEducation-2007.pdf
Understanding Education for Social Justice,本文探讨了“社会正义”概念在教育学术研究、教师教育计划及学校使命宣言中的普及程度。作者指出，虽然社会正义已成为教育改革和领导力的核心范式，但其定义在不同语境下（如文化回应教学与“不让一个孩子掉队”政策）存在显著差异，文章旨在理清教育中社会正义的多重内涵。,"['种族 bias', '文化 bias', '社会阶层 bias', '性别 bias']",EJ925898.pdf
Five Essential Components for Social Justice Education,本文探讨了教育者如何通过社会正义的教学视角来开展赋权教育，旨在培养学生的批判性思维并推动社会变革。作者提出了社会正义教育的五个核心组成部分：内容掌握工具、批判性思维工具、行动与社会变革工具、个人反思工具以及对多元文化群体动态的认识工具。,"['种族 (Race)', '阶级 (Class)', '性别 (Gender)', '性取向 (Sexual Orientation)', '残障/能力 (Ability)']",HACKMAN.pdf
Social justice education through trauma-informed teaching,本文探讨了在中学教育中实施创伤知情教学（trauma-informed teaching）作为实现社会正义的一种手段。文章指出，童年创伤会严重阻碍学生的发展，尤其是对弱势群体学生的影响更为显著。作者分析了传统的课堂管理和教学方式可能对受创伤学生造成的负面影响，并提倡通过社会正义教育来改善这一现状。,"['行为偏差 (传统课堂管理对受创伤学生的偏见)', '种族偏差 (基于社会正义教育背景及引用的种族差异研究)', '社会经济偏差 (针对弱势学生群体的系统性不平等)']",Social_justice_education_through_trauma.pdf
Equity in Education: Country Analytical Report - Norway,该报告是为经合组织（OECD）“教育公平专题审查”项目编写的挪威国家分析报告。报告由 Vibeke Opheim 撰写，旨在深入分析挪威教育系统的背景、政策发展以及影响教育公平的关键因素，并探讨了衡量教育公平的定义与指标体系。,"['社会经济背景 bias', '性别 bias', '移民/种族背景 bias', '地区/地理差异 bias']",Equity_in_Education_Country_Analytical_R.pdf
